step,reward,seed,drd
28800,-1920.6507568359375,9322,无责任分发
31200,-1330.5687255859375,9322,无责任分发
33600,-481.302734375,9322,无责任分发
36000,-551.5719604492188,9322,无责任分发
38400,-460.11676025390625,9322,无责任分发
40800,-695.0050659179688,9322,无责任分发
43200,-538.9154663085938,9322,无责任分发
45600,-532.987060546875,9322,无责任分发
48000,-582.3005981445312,9322,无责任分发
0,-5609.02978515625,9322,有责任分发
2400,-23.945934295654297,9322,有责任分发
4800,-46.08146286010742,9322,有责任分发
7200,-25.194610595703125,9322,有责任分发
9600,-23.68422508239746,9322,有责任分发
12000,-24.64104461669922,9322,有责任分发
14400,-24.504093170166016,9322,有责任分发
16800,-23.304975509643555,9322,有责任分发
19200,-21.512683868408203,9322,有责任分发
21600,-23.557462692260742,9322,有责任分发
24000,-21.021915435791016,9322,有责任分发
26400,-21.110395431518555,9322,有责任分发
28800,-20.881229400634766,9322,有责任分发
31200,-20.98876953125,9322,有责任分发
33600,-23.643526077270508,9322,有责任分发
36000,-21.25530433654785,9322,有责任分发
38400,-21.333391189575195,9322,有责任分发
40800,-24.641677856445312,9322,有责任分发
43200,-21.349637985229492,9322,有责任分发
45600,-20.367279052734375,9322,有责任分发
48000,-23.87131690979004,9322,有责任分发
