anal_idx,initial_region_ratio,no_initial_region_ratio,known_cnt,pearson_r,p_value,mse,r2
3,0.2,0.9,518.0,0.8754003643989563,6.188856534224415e-33,1.3868542909622192,-1.2997727394104004
3,0.2,1.0,574.0,0.7885061502456665,4.405549258734709e-10,2.3768739700317383,-37.462284088134766
3,0.3,0.1,85.0,0.8934054374694824,0.0,0.12702277302742004,0.5204076766967773
3,0.3,0.2,140.0,0.8965135216712952,0.0,0.1787952482700348,0.378067284822464
3,0.3,0.3,196.0,0.8995164632797241,0.0,0.2338893860578537,0.2569953203201294
3,0.3,0.4,251.0,0.9027392864227295,0.0,0.294559508562088,0.15187425911426544
3,0.3,0.5,307.0,0.9061815142631531,0.0,0.3680760860443115,0.051918406039476395
3,0.3,0.6,362.0,0.9086676836013794,0.0,0.4599704444408417,-0.05159653723239899
3,0.3,0.7,417.0,0.9097940921783447,0.0,0.5882563591003418,-0.1809229850769043
3,0.3,0.8,473.0,0.9080927968025208,0.0,0.7922794818878174,-0.39558565616607666
3,0.3,0.9,528.0,0.8952944874763489,6.974893531734031e-31,1.1619659662246704,-0.9467476010322571
3,0.3,1.0,584.0,0.8414558172225952,5.713180484256952e-10,2.123600959777832,-35.539180755615234
3,0.4,0.1,95.0,0.899462103843689,0.0,0.08975767344236374,0.6109212636947632
3,0.4,0.2,150.0,0.9024307131767273,0.0,0.12742508947849274,0.49277305603027344
3,0.4,0.3,206.0,0.905709981918335,0.0,0.17001716792583466,0.3845287561416626
3,0.4,0.4,261.0,0.9092175364494324,0.0,0.21846932172775269,0.28701865673065186
3,0.4,0.5,317.0,0.9128715991973877,0.0,0.27834439277648926,0.19335755705833435
3,0.4,0.6,372.0,0.9160780310630798,0.0,0.3542560935020447,0.09811846911907196
3,0.4,0.7,427.0,0.9184602499008179,0.0,0.4618034064769745,-0.01654435135424137
3,0.4,0.8,483.0,0.918772280216217,0.0,0.636305034160614,-0.1976897418498993
3,0.4,0.9,538.0,0.9101820588111877,2.144422605857627e-32,0.9649227857589722,-0.6460737586021423
3,0.4,1.0,594.0,0.8730830550193787,1.787850401058222e-08,1.9058334827423096,-34.267642974853516
3,0.5,0.1,105.0,0.9005916118621826,0.0,0.06420043855905533,0.6717410087585449
3,0.5,0.2,160.0,0.9037268757820129,0.0,0.09032654017210007,0.5771639943122864
3,0.5,0.3,216.0,0.9072025418281555,0.0,0.12177447974681854,0.48365578055381775
3,0.5,0.4,271.0,0.9111146330833435,0.0,0.1588200032711029,0.39616575837135315
3,0.5,0.5,327.0,0.9152872562408447,0.0,0.2057475447654724,0.31060996651649475
3,0.5,0.6,382.0,0.9191821217536926,0.0,0.2661908268928528,0.22488555312156677
3,0.5,0.7,437.0,0.9226259589195251,0.0,0.3533746600151062,0.12490256130695343
3,0.5,0.8,493.0,0.9247214794158936,0.0,0.49841541051864624,-0.025665750727057457
